Date,Open,High,Low,Close
05 February 2016,"?27,920","?28,203","?27,901","?28,152"
06 February 2016,"?28,190","?28,199","?27,943","?28,065"
07 February 2016,"?28,062","?28,174","?27,960","?28,005"
08 February 2016,"?28,078","?28,214","?28,077","?28,123"
09 February 2016,"?28,168","?28,212","?28,026","?28,077"
10 February 2016,"?28,088","?28,143","?27,918","?27,986"
11 February 2016,"?28,013","?28,029","?27,854","?27,990"
12 February 2016,"?28,065","?28,108","?27,960","?28,060"
13 February 2016,"?28,104","?28,154","?27,803","?27,836"
14 February 2016,"?27,883","?27,936","?27,697","?27,782"
15 February 2016,"?27,827","?27,953","?27,699","?27,903"
16 February 2016,"?28,012","?28,478","?28,011","?28,343"
17 February 2016,"?28,372","?28,532","?28,363","?28,452"
18 February 2016,"?28,459","?28,549","?28,387","?28,423"
19 February 2016,"?28,499","?28,582","?28,428","?28,532"
20 February 2016,"?28,631","?29,013","?28,631","?28,978"
21 February 2016,"?29,036","?29,068","?28,911","?28,926"
22 February 2016,"?28,929","?29,077","?28,855","?29,045"
23 February 2016,"?29,063","?29,063","?28,755","?28,797"
24 February 2016,"?28,481","?28,481","?28,251","?28,354"
25 February 2016,"?28,345","?28,416","?28,259","?28,372"
26 February 2016,"?28,398","?28,454","?28,311","?28,413"
27 February 2016,"?28,520","?28,779","?28,495","?28,599"
28 February 2016,"?28,627","?28,715","?28,553","?28,635"
29 February 2016,"?28,691","?28,699","?28,481","?28,523"
01 March 2016,"?28,554","?28,689","?28,462","?28,507"
02 March 2016,"?28,767","?28,872","?28,693","?28,773"
03 March 2016,"?28,810","?28,825","?28,627","?28,668"
04 March 2016,"?28,631","?28,631","?28,272","?28,294"
05 March 2016,"?28,373","?28,433","?28,179","?28,224"
06 March 2016,"?28,199","?28,379","?28,198","?28,293"
07 March 2016,"?28,423","?28,476","?27,720","?27,828"
08 March 2016,"?27,808","?27,955","?27,717","?27,866"
09 March 2016,"?27,997","?28,273","?27,920","?28,243"
10 March 2016,"?28,378","?28,405","?28,242","?28,335"
11 March 2016,"?28,426","?28,478","?28,189","?28,221"
12 March 2016,"?28,298","?28,329","?28,031","?28,106"
13 March 2016,"?28,129","?28,156","?27,965","?28,061"
14 March 2016,"?28,144","?28,217","?28,068","?28,082"
15 March 2016,"?28,043","?28,043","?27,564","?27,643"
16 March 2016,"?27,712","?27,764","?27,548","?27,674"
17 March 2016,"?27,776","?27,803","?27,488","?27,530"
18 March 2016,"?27,657","?28,064","?27,653","?28,051"
19 March 2016,"?28,112","?28,131","?27,926","?27,984"
20 March 2016,"?28,032","?28,213","?28,032","?28,130"
21 March 2016,"?28,163","?28,163","?27,958","?28,077"
22 March 2016,"?28,157","?28,257","?28,076","?28,179"
23 March 2016,"?28,159","?28,211","?28,014","?28,091"
24 March 2016,"?28,051","?28,051","?27,760","?27,837"
